Item,Price Point Name,Category,SKU,Items Sold,Item Sales,Discounts,Refund Count,Refunds,Net Sales
Pepsi,24oz ,None,"",34.0,$51.00,$0.00,0.0,$0.00,$51.00
Pepsi,24oz Diet,None,"",3.0,$4.50,$0.00,0.0,$0.00,$4.50
Pepsi,2Ltr,None,"",20.0,$50.00,$0.00,1.0,$-2.50,$47.50
Pepsi,2Ltr Cherry,None,"",9.0,$22.50,$0.00,0.0,$0.00,$22.50
Pepsi,Can Pepsi,None,"",11.0,$7.15,$0.00,0.0,$0.00,$7.15
Pet Food,Cat Food,Misc,"",26.0,$19.50,$0.00,0.0,$0.00,$19.50
Pet Food,Dog Food,Misc,"",10.0,$10.00,$0.00,0.0,$0.00,$10.00
Pet Food,Dry Cat Food,Misc,"",2.0,$12.00,$0.00,0.0,$0.00,$12.00
Pet Food,Dry Dog Food,Misc,"",1.0,$6.00,$0.00,0.0,$0.00,$6.00
Pet Food,Litter,Misc,"",1.0,$3.50,$0.00,0.0,$0.00,$3.50
Pie,Apple,Snacks,"",2.0,$3.00,$0.00,0.0,$0.00,$3.00
Pie,Blueberry,Snacks,"",1.0,$1.50,$0.00,0.0,$0.00,$1.50
Pie,Cherry,Snacks,"",2.0,$3.00,$0.00,0.0,$0.00,$3.00
Pie,Coconut Cream,Snacks,"",4.0,$6.00,$0.00,0.0,$0.00,$6.00
Pie,French Apple,Snacks,"",7.0,$10.50,$0.00,0.0,$0.00,$10.50
Pie,Peach,Snacks,"",1.0,$1.50,$0.00,0.0,$0.00,$1.50
Pizza 12inch,Great Value Pepperoni ,None,"",2.0,$8.00,$0.00,0.0,$0.00,$8.00
Pizza 12inch,Red Baron Meat,None,"",2.0,$8.00,$0.00,0.0,$0.00,$8.00
Pizza 12inch,Red Baron Surpreme,None,"",4.0,$16.00,$0.00,0.0,$0.00,$16.00
Pop Tart,Blueberry,Snacks,"",1.0,$0.75,$0.00,0.0,$0.00,$0.75
Pop Tart,Cherry,Snacks,"",2.0,$1.50,$0.00,0.0,$0.00,$1.50
Pop Tart,Cookies N Cream,Snacks,"",4.0,$3.00,$0.00,0.0,$0.00,$3.00
Pop Tart,Smores,Snacks,"",3.0,$2.25,$0.00,0.0,$0.00,$2.25
Pop Tart,Strawberry,Snacks,"",3.0,$2.25,$0.00,0.0,$0.00,$2.25
Pringles ,Bbq,Snacks,"",1.0,$2.50,$0.00,0.0,$0.00,$2.50
Pringles ,Cheddar Cheese,Snacks,"",2.0,$5.00,$0.00,0.0,$0.00,$5.00
Pringles ,Honey Mustard,Snacks,"",1.0,$2.50,$0.00,0.0,$0.00,$2.50
Pringles ,Loaded Baked Potatoe,Snacks,"",5.0,$12.50,$0.00,0.0,$0.00,$12.50
Pringles ,Original,Snacks,"",1.0,$2.50,$0.00,0.0,$0.00,$2.50
Pringles ,Pizzas,Snacks,"",1.0,$2.50,$0.00,0.0,$0.00,$2.50
Pringles ,Ranch,Snacks,"",5.0,$12.50,$0.00,0.0,$0.00,$12.50
Pringles ,Sour Cream N Onion,Snacks,"",2.0,$5.00,$0.00,0.0,$0.00,$5.00
Pringles ,Tortilla ,Snacks,"",2.0,$5.00,$0.00,0.0,$0.00,$5.00
Pringles ,Zesty Salsa,Snacks,"",1.0,$2.50,$0.00,0.0,$0.00,$2.50
Propane,Can,None,"",7.0,$140.00,$0.00,0.0,$0.00,$140.00
Pudding,Chocolate Vanilla Swirl,None,"",1.0,$1.00,$0.00,0.0,$0.00,$1.00
RC,Regular Price,None,"",5.0,$3.25,$0.00,0.0,$0.00,$3.25
Rolling Papers,EZ Wider,Tobacco,"",3.0,$6.00,$0.00,0.0,$0.00,$6.00
Rolling Papers,JOB,Tobacco,"",8.0,$14.00,$0.00,0.0,$0.00,$14.00
Rolling Papers,Raw,Tobacco,"",2.0,$4.00,$0.00,0.0,$0.00,$4.00
Root beer,16 Oz. Root Beer,Drinks,"",10.0,$10.00,$0.00,0.0,$0.00,$10.00
Root beer,16oz Diet Root Beer,Drinks,"",2.0,$2.00,$0.00,0.0,$0.00,$2.00
Root beer,2 Ltr. Root Beer,Drinks,"",3.0,$7.50,$0.00,0.0,$0.00,$7.50
Root beer,Can Cream Soda,Drinks,"",4.0,$2.60,$0.00,0.0,$0.00,$2.60
Root beer,Canned Rootbeer,Drinks,"",7.0,$4.55,$0.00,0.0,$0.00,$4.55
Salems,Regular Price,None,"",1.0,$5.50,$0.00,0.0,$0.00,$5.50
Screens,Brass,None,"",1.0,$1.00,$0.00,0.0,$0.00,$1.00
Shasta Cans,Grape,None,"",2.0,$1.30,$0.00,0.0,$0.00,$1.30
Sierra Mist,2ltr,None,"",1.0,$2.50,$0.00,0.0,$0.00,$2.50
Sierra Mist,Can,None,"",9.0,$5.85,$0.00,0.0,$0.00,$5.85
Skoal ,Original FC,None,"",2.0,$10.00,$0.00,0.0,$0.00,$10.00
Skoal ,Straight LC,None,"",1.0,$5.00,$0.00,0.0,$0.00,$5.00
Skoal ,Wintergreen LC,None,"",1.0,$5.00,$0.00,0.0,$0.00,$5.00
Slim Jim ,Big Slim Jim,None,"",40.0,$40.00,$0.00,0.0,$0.00,$40.00
Slim Jim ,Sm Slim Jim,None,"",27.0,$8.10,$0.00,0.0,$0.00,$8.10
Soap,Irish Spring Bar,None,"",1.0,$1.00,$0.00,0.0,$0.00,$1.00
Soups,Chicken N Rice,None,"",3.0,$6.00,$0.00,0.0,$0.00,$6.00
Spaghetti ,Noodles,None,"",2.0,$3.00,$0.00,0.0,$0.00,$3.00
Sprite,16oz,None,"",17.0,$17.00,$0.00,0.0,$0.00,$17.00
Sprite,2Ltr,None,"",3.0,$7.50,$0.00,0.0,$0.00,$7.50
Sprite,Can,None,"",4.0,$2.60,$0.00,0.0,$0.00,$2.60
Sugar,"",None,"",3.0,$6.75,$0.00,0.0,$0.00,$6.75
Sunkist,12oz Can,Drinks,"",6.0,$3.90,$0.00,0.0,$0.00,$3.90
Swisher Single,Blueberry 2pk,None,"",5.0,$6.25,$0.00,0.0,$0.00,$6.25
Swisher Single,Grape 2pk,None,"",1.0,$1.25,$0.00,0.0,$0.00,$1.25
Swisher Single,Pack,None,"",5.0,$23.75,$0.00,0.0,$0.00,$23.75
Tabs Paid,Regular Price,None,"",6.0,$227.50,$0.00,0.0,$0.00,$227.50
Tissues,Regular Price,None,"",2.0,$3.00,$0.00,0.0,$0.00,$3.00
Toy Items,4pk Poppers,None,"",9.0,$27.00,$0.00,0.0,$0.00,$27.00
Toy Items,Bubbles,None,"",2.0,$2.00,$0.00,0.0,$0.00,$2.00
Toy Items,Sparklers,None,"",1.0,$0.75,$0.00,0.0,$0.00,$0.75
Toy Items,Water Gun,None,"",1.0,$1.00,$0.00,0.0,$0.00,$1.00
Tp ,6pk,None,"",2.0,$10.00,$0.00,0.0,$0.00,$10.00
Tp ,Roll,None,"",8.0,$12.00,$0.00,0.0,$0.00,$12.00
Trident,Cinnamon,Snacks,"",1.0,$1.00,$0.00,0.0,$0.00,$1.00
Trident,Original,Snacks,"",1.0,$1.00,$0.00,0.0,$0.00,$1.00
Velvet Shells And Cheese,Regular Price,None,"",1.0,$3.00,$0.00,0.0,$0.00,$3.00
Virginia Slims ,"",None,"",2.0,$11.00,$0.00,0.0,$0.00,$11.00
Water ,16oz,Other Drinks,"",18.0,$18.00,$0.00,1.0,$-1.00,$17.00
Water ,Gallon,Other Drinks,"",5.0,$10.00,$0.00,0.0,$0.00,$10.00
Winston,Winston,Tobacco,"",6.0,$30.00,$0.00,0.0,$0.00,$30.00
Winston,Winston 100,Tobacco,"",7.0,$35.00,$0.00,0.0,$0.00,$35.00
Winston,Winston Light,Tobacco,"",3.0,$15.00,$0.00,0.0,$0.00,$15.00
Zig Zag Wraps,Blueberry,None,"",3.0,$3.75,$0.00,0.0,$0.00,$3.75
Zig Zag Wraps,Grape,None,"",15.0,$18.75,$0.00,0.0,$0.00,$18.75
Zig Zag Wraps,Peach,None,"",5.0,$6.25,$0.00,1.0,$-1.25,$5.00
